"filename", "language", "C#", "PowerShell", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\BootMenu.cs", "C#", 131, 0, 0, 0, 2, 25, 158
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\BuildTime.ps1", "PowerShell", 0, 3, 0, 0, 0, 1, 4
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\CMLeonOS.csproj", "XML", 0, 0, 4, 0, 0, 0, 4
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Editor\Nano.cs", "C#", 612, 0, 0, 0, 0, 67, 679
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaOsLib.cs", "C#", 7, 0, 0, 0, 0, 1, 8
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Kernel.cs", "C#", 42, 0, 0, 0, 24, 7, 73
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Settings\Settings.cs", "C#", 20, 0, 0, 0, 0, 1, 21
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\CommandList.cs", "C#", 9, 0, 0, 0, 0, 0, 9
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\Help\Help.cs", "C#", 23, 0, 0, 0, 0, 3, 26
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\Info\Version.cs", "C#", 5, 0, 0, 0, 0, 1, 6
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\Script\ClaCommand.cs", "C#", 69, 0, 0, 0, 0, 14, 83
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\Script\Lua2ClaCommand.cs", "C#", 58, 0, 0, 0, 0, 13, 71
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\Script\LuaCommand.cs", "C#", 49, 0, 0, 0, 0, 5, 54
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\System\KillCommand.cs", "C#", 50, 0, 0, 0, 0, 8, 58
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\System\PsCommand.cs", "C#", 51, 0, 0, 0, 0, 7, 58
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\System\SettingsCommand.cs", "C#", 12, 0, 0, 0, 0, 0, 12
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\User\UserCommand.cs", "C#", 17, 0, 0, 0, 0, 2, 19
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\Utility\HexCommand.cs", "C#", 45, 0, 0, 0, 0, 5, 50
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\Utility\HexEditor.cs", "C#", 234, 0, 0, 0, 0, 25, 259
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Shell.cs", "C#", -28, 0, 0, 0, -4, -7, -39
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\System\FileSystem.cs", "C#", 89, 0, 0, 0, -3, 23, 109
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\System\Process.cs", "C#", 164, 0, 0, 0, 0, 20, 184
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\System\ProcessManager.cs", "C#", 77, 0, 0, 0, 0, 15, 92
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\System\ShellProcess.cs", "C#", 53, 0, 0, 0, 0, 11, 64
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\System\UserSystem.cs", "C#", 45, 0, 0, 0, 0, 7, 52
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\docs\cmleonos\docs\commands.md", "Markdown", 0, 0, 0, 67, 0, 14, 81
"Total", "-", 1834, 3, 4, 67, 19, 268, 2195
