"filename", "language", "C#", "Lua", "PowerShell", "JSON", "XML", "Markdown", "Batch", "YAML", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\BootMenu.cs", "C#", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 30, 197
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Branswe.md", "Markdown", 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 67, 328
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Build.bat", "Batch", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\BuildTime.ps1", "PowerShell", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\CMLeonOS.csproj", "XML", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 1, 14, 164
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Driver\VMWareSVGAII.cs", "C#", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 460, 37, 816
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Editor\Editor.cs", "C#", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 36, 347
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Editor\Nano.cs", "C#", 1339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 161, 1531
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\GenerateGitCommit.ps1", "PowerShell", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\App.cs", "C#", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 53
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\AppManager.cs", "C#", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 26, 147
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Calculator.cs", "C#", 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 30, 307
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Calendar.cs", "C#", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 105
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Clock.cs", "C#", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 25, 139
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\CodeEditor.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 67
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\CodeStudio.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 64
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\Ide.cs", "C#", 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 56, 370
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\LuaGuiLibrary.cs", "C#", 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 81, 456
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\LuaSyntaxHighlighter.cs", "C#", 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 197
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\DemoLauncher.cs", "C#", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 103
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Demos\Mandelbrot.cs", "C#", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 21, 108
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Demos\Starfield.cs", "C#", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 122
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Files.cs", "C#", 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 56, 346
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Info.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 69
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Logs.cs", "C#", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 28, 155
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\MemoryStatistics.cs", "C#", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 88
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Notepad.cs", "C#", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43, 229
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\ColourPicker.cs", "C#", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 106
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Paint.cs", "C#", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 105
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Tool.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 41
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\ToolBox.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 77
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Tools\CircleBrush.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 36
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Tools\Pencil.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 59
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Settings.cs", "C#", 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 55, 316
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Stopwatch.cs", "C#", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 33, 178
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Tasks.cs", "C#", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 17, 99
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Asc16.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 55
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\BitmapExtensions.cs", "C#", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 66
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\CursorType.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 25
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Gui.cs", "C#", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 98
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\SettingsService.cs", "C#", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 27, 223
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\AppDockIcon.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\BaseDockIcon.cs", "C#", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 99
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\Dock.cs", "C#", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 39, 207
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\StartMenuDockIcon.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Lock.cs", "C#", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43, 219
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\StartMenu.cs", "C#", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 53, 297
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Taskbar.cs", "C#", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 25, 160
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\SmoothMono\FontData.cs", "C#", 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 129, 565
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\SmoothMono\TextRenderer.cs", "C#", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 81
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Sound\SoundService.cs", "C#", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 18, 128
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Sound\SystemSound.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 26
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Alignment.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 26
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Animations\Animation.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 12, 101
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Animations\Easing.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 72
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Animations\EasingDirection.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 4, 40
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Animations\EasingType.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 3, 35
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Animations\MovementAnimation.cs", "C#", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 6, 81
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\AppWindow.cs", "C#", 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 44, 260
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Button.cs", "C#", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 150
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Calendar.cs", "C#", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 28, 221
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\CheckBox.cs", "C#", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 131
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Control.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 31
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Extensions.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 34
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\FileBrowser.cs", "C#", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43, 330
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\ImageBlock.cs", "C#", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 78
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\MessageBox.cs", "C#", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 75
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\PromptBox.cs", "C#", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 77
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\RangeSlider.cs", "C#", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 28, 212
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\ShortcutBar.cs", "C#", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 110
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\ShortcutBarCell.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 34
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Switch.cs", "C#", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 21, 135
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Table.cs", "C#", 335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 47, 410
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\TableCell.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 59
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\TextBlock.cs", "C#", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 141
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\TextBox.cs", "C#", 327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 67, 413
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Window.cs", "C#", 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 66, 580
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\WindowManager.cs", "C#", 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 82, 461
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\Branswe.cs", "C#", 482, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 54, 579
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\ByteString.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8, 64
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\Coder.cs", "C#", 1101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 157, 1299
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\Common.cs", "C#", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 27, 144
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\Do.cs", "C#", 269, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 50, 359
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\Dump.cs", "C#", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 33, 235
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LLex.cs", "C#", 627, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 93, 775
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaAPI.cs", "C#", 1335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 241, 1655
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaAuxLib.cs", "C#", 643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 92, 771
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaBaseLib.cs", "C#", 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 43, 473
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaBitLib.cs", "C#", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 27, 221
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaCoroLib.cs", "C#", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 168
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaDebug.cs", "C#", 443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 55, 532
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaDebugLib.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 41
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaEncLib.cs", "C#", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 80
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaFile.cs", "C#", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 19, 151
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaFunc.cs", "C#", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 110
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaIOLib.cs", "C#", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 19, 116
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaJsonLib.cs", "C#", 461, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 66, 542
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaMathLib.cs", "C#", 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 49, 359
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaObject.cs", "C#", 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 52, 435
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaOsLib.cs", "C#", 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 50, 381
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaPkgLib.cs", "C#", 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 47, 375
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Interpreter\UniLua\LuaState.cs", "C#", 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 51, 322
