"filename", "language", "C#", "Markdown", "comment", "blank", "total"
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\BootMenu.cs", "C#", -152, 0, -15, -30, -197
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Editor\Nano.cs", "C#", 328, 0, 0, 19, 347
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Files.cs", "C#", 3, 0, 0, 0, 3
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Settings.cs", "C#", 9, 0, 0, 2, 11
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Kernel.cs", "C#", 1, 0, 6, 2, 9
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\LuaApps.cs", "C#", -13, 0, -15, -4, -32
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Power.cs", "C#", -22, 0, -15, -4, -41
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Settings\Settings.cs", "C#", 17, 0, 0, 1, 18
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\CommandList.cs", "C#", 6, 0, 0, 0, 6
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\MarkitCommand.cs", "C#", 100, 0, 0, 7, 107
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\Utility\AliasCommand.cs", "C#", 7, 0, 0, 2, 9
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Commands\Utility\FemboyCommand.cs", "C#", 12, 0, 15, 3, 30
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Shell\Shell.cs", "C#", 9, 0, 0, 2, 11
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\System\BootMenu.cs", "C#", 156, 0, 15, 31, 202
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\System\FileSystem.cs", "C#", 40, 0, 1, 4, 45
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\System\UserManager.cs", "C#", 79, 0, 15, 16, 110
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\UserManager.cs", "C#", -79, 0, -15, -16, -110
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Utils\LuaApps.cs", "C#", 13, 0, 15, 4, 32
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Utils\Power.cs", "C#", 22, 0, 15, 4, 41
"c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\docs\cmleonos\docs\commands.md", "Markdown", 0, 159, 0, 33, 192
"Total", "-", 536, 159, 22, 76, 793
