Date : 2026-03-15 16:06:49
Directory : c:\Users\leon\source\repos\CMLeonOS\CMLeonOS
Total : 241 files,  62105 codes, 4967 comments, 7381 blanks, all 74453 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        203 |     35,614 |      4,549 |      5,797 |     45,960 |
| JavaScript |         12 |     20,288 |        415 |         34 |     20,737 |
| Markdown   |          7 |      2,797 |          0 |        820 |      3,617 |
| YAML       |          1 |      2,410 |          0 |        674 |      3,084 |
| HTML       |          5 |        654 |          0 |         20 |        674 |
| XML        |          1 |        149 |          1 |         14 |        164 |
| Lua        |          4 |        100 |          1 |         15 |        116 |
| JSON       |          4 |         66 |          0 |          2 |         68 |
| PowerShell |          2 |         25 |          0 |          4 |         29 |
| Batch      |          1 |          1 |          1 |          0 |          2 |
| PostCSS    |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        241 |     62,105 |      4,967 |      7,381 |     74,453 |
| . (Files)                                                                                                          |          9 |      1,343 |         99 |        275 |      1,717 |
| Driver                                                                                                             |          1 |        319 |        460 |         37 |        816 |
| Editor                                                                                                             |          2 |      1,934 |         75 |        216 |      2,225 |
| Gui                                                                                                                |         69 |      7,872 |      1,241 |      1,667 |     10,780 |
| Gui (Files)                                                                                                        |          9 |      1,256 |        203 |        249 |      1,708 |
| Gui\Apps                                                                                                           |         25 |      2,922 |        387 |        647 |      3,956 |
| Gui\Apps (Files)                                                                                                   |         12 |      1,602 |        190 |        356 |      2,148 |
| Gui\Apps\CodeStudio                                                                                                |          5 |        900 |         76 |        178 |      1,154 |
| Gui\Apps\Demos                                                                                                     |          2 |        156 |         30 |         44 |        230 |
| Gui\Apps\Paint                                                                                                     |          6 |        264 |         91 |         69 |        424 |
| Gui\Apps\Paint (Files)                                                                                             |          4 |        209 |         61 |         59 |        329 |
| Gui\Apps\Paint\Tools                                                                                               |          2 |         55 |         30 |         10 |         95 |
| Gui\ShellComponents                                                                                                |          7 |        762 |        114 |        184 |      1,060 |
| Gui\ShellComponents (Files)                                                                                        |          3 |        508 |         47 |        121 |        676 |
| Gui\ShellComponents\Dock                                                                                           |          4 |        254 |         67 |         63 |        384 |
| Gui\SmoothMono                                                                                                     |          2 |        478 |         30 |        138 |        646 |
| Gui\Sound                                                                                                          |          2 |        103 |         31 |         20 |        154 |
| Gui\UILib                                                                                                          |         24 |      2,351 |        476 |        429 |      3,256 |
| Gui\UILib (Files)                                                                                                  |         19 |      2,211 |        316 |        400 |      2,927 |
| Gui\UILib\Animations                                                                                               |          5 |        140 |        160 |         29 |        329 |
| Interpreter                                                                                                        |         34 |     13,167 |      1,114 |      1,969 |     16,250 |
| Interpreter (Files)                                                                                                |          1 |        482 |         43 |         54 |        579 |
| Interpreter\UniLua                                                                                                 |         33 |     12,685 |      1,071 |      1,915 |     15,671 |
| Logger                                                                                                             |          4 |        186 |         60 |         38 |        284 |
| LuaApps                                                                                                            |          4 |        100 |          1 |         15 |        116 |
| Settings                                                                                                           |          1 |        324 |         15 |         32 |        371 |
| Shell                                                                                                              |         66 |      6,845 |        994 |        988 |      8,827 |
| Shell (Files)                                                                                                      |          3 |      1,981 |         64 |        310 |      2,355 |
| Shell\Commands                                                                                                     |         63 |      4,864 |        930 |        678 |      6,472 |
| Shell\Commands (Files)                                                                                             |          6 |      1,077 |         75 |        160 |      1,312 |
| Shell\Commands\Editor                                                                                              |          2 |         48 |         30 |          8 |         86 |
| Shell\Commands\Environment                                                                                         |          1 |        175 |         15 |         11 |        201 |
| Shell\Commands\FileSystem                                                                                          |         17 |        580 |        255 |        102 |        937 |
| Shell\Commands\Help                                                                                                |          1 |        554 |         15 |         30 |        599 |
| Shell\Commands\Info                                                                                                |          2 |         34 |         30 |          7 |         71 |
| Shell\Commands\Power                                                                                               |          2 |         26 |         30 |          6 |         62 |
| Shell\Commands\Script                                                                                              |          5 |        453 |         75 |         74 |        602 |
| Shell\Commands\System                                                                                              |          9 |        276 |        135 |         48 |        459 |
| Shell\Commands\User                                                                                                |          3 |        151 |         45 |         22 |        218 |
| Shell\Commands\Utility                                                                                             |         15 |      1,490 |        225 |        210 |      1,925 |
| System                                                                                                             |          8 |      1,891 |        157 |        292 |      2,340 |
| UI                                                                                                                 |          4 |      1,621 |         70 |        272 |      1,963 |
| Utils                                                                                                              |         13 |      1,041 |        266 |        206 |      1,513 |
| docs                                                                                                               |         26 |     25,462 |        415 |      1,374 |     27,251 |
| docs\cmleonos                                                                                                      |         26 |     25,462 |        415 |      1,374 |     27,251 |
| docs\cmleonos (Files)                                                                                              |          2 |      2,430 |          0 |        675 |      3,105 |
| docs\cmleonos\docs                                                                                                 |         24 |     23,032 |        415 |        699 |     24,146 |
| docs\cmleonos\docs (Files)                                                                                         |          4 |      2,049 |          0 |        643 |      2,692 |
| docs\cmleonos\docs\.vuepress                                                                                       |         20 |     20,983 |        415 |         56 |     21,454 |
| docs\cmleonos\docs\.vuepress (Files)                                                                               |          1 |         12 |          1 |          7 |         20 |
| docs\cmleonos\docs\.vuepress\.cache                                                                                |          7 |     19,829 |        410 |         22 |     20,261 |
| docs\cmleonos\docs\.vuepress\.cache\deps                                                                           |          7 |     19,829 |        410 |         22 |     20,261 |
| docs\cmleonos\docs\.vuepress\dist                                                                                  |         12 |      1,142 |          4 |         27 |      1,173 |
| docs\cmleonos\docs\.vuepress\dist (Files)                                                                          |          5 |        654 |          0 |         20 |        674 |
| docs\cmleonos\docs\.vuepress\dist\assets                                                                           |          7 |        488 |          4 |          7 |        499 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                           | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Branswe.md                                                            | Markdown   |        261 |          0 |         67 |        328 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Build.bat                                                             | Batch      |          1 |          1 |          0 |          2 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\BuildTime.ps1                                                         | PowerShell |          3 |          0 |          1 |          4 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\CMLeonOS.csproj                                                       | XML        |        149 |          1 |         14 |        164 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Driver\VMWareSVGAII.cs                                                | C#         |        319 |        460 |         37 |        816 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Editor\Editor.cs                                                      | C#         |        267 |         44 |         36 |        347 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Editor\Nano.cs                                                        | C#         |      1,667 |         31 |        180 |      1,878 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\GenerateGitCommit.ps1                                                 | PowerShell |         22 |          0 |          3 |         25 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\App.cs                                                            | C#         |         29 |         15 |          9 |         53 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\AppManager.cs                                                     | C#         |        106 |         15 |         26 |        147 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Calculator.cs                                                | C#         |        258 |         19 |         30 |        307 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Calendar.cs                                                  | C#         |         70 |         15 |         20 |        105 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Clock.cs                                                     | C#         |         95 |         19 |         25 |        139 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\CodeEditor.cs                                     | C#         |         45 |         15 |          7 |         67 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\CodeStudio.cs                                     | C#         |         36 |         16 |         12 |         64 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\Ide.cs                                            | C#         |        299 |         15 |         56 |        370 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\LuaGuiLibrary.cs                                  | C#         |        360 |         15 |         81 |        456 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\CodeStudio\LuaSyntaxHighlighter.cs                           | C#         |        160 |         15 |         22 |        197 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\DemoLauncher.cs                                              | C#         |         70 |         15 |         18 |        103 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Demos\Mandelbrot.cs                                          | C#         |         72 |         15 |         21 |        108 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Demos\Starfield.cs                                           | C#         |         84 |         15 |         23 |        122 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Files.cs                                                     | C#         |        278 |         15 |         56 |        349 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Info.cs                                                      | C#         |         41 |         15 |         13 |         69 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Logs.cs                                                      | C#         |        112 |         15 |         28 |        155 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\MemoryStatistics.cs                                          | C#         |         57 |         15 |         16 |         88 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Notepad.cs                                                   | C#         |        171 |         15 |         43 |        229 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\ColourPicker.cs                                        | C#         |         74 |         16 |         16 |        106 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Paint.cs                                               | C#         |         70 |         15 |         20 |        105 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Tool.cs                                                | C#         |         19 |         15 |          7 |         41 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\ToolBox.cs                                             | C#         |         46 |         15 |         16 |         77 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Tools\CircleBrush.cs                                   | C#         |         17 |         15 |          4 |         36 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Paint\Tools\Pencil.cs                                        | C#         |         38 |         15 |          6 |         59 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Settings.cs                                                  | C#         |        253 |         17 |         57 |        327 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Stopwatch.cs                                                 | C#         |        130 |         15 |         33 |        178 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Apps\Tasks.cs                                                     | C#         |         67 |         15 |         17 |         99 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Asc16.cs                                                          | C#         |         34 |         16 |          5 |         55 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\BitmapExtensions.cs                                               | C#         |         40 |         15 |         11 |         66 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\CursorType.cs                                                     | C#         |          8 |         15 |          2 |         25 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Gui.cs                                                            | C#         |         61 |         16 |         21 |         98 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\SettingsService.cs                                                | C#         |        171 |         25 |         27 |        223 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\AppDockIcon.cs                               | C#         |         19 |         15 |          5 |         39 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\BaseDockIcon.cs                              | C#         |         65 |         20 |         14 |         99 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\Dock.cs                                      | C#         |        151 |         17 |         39 |        207 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Dock\StartMenuDockIcon.cs                         | C#         |         19 |         15 |          5 |         39 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Lock.cs                                           | C#         |        161 |         15 |         43 |        219 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\StartMenu.cs                                      | C#         |        227 |         17 |         53 |        297 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\ShellComponents\Taskbar.cs                                        | C#         |        120 |         15 |         25 |        160 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\SmoothMono\FontData.cs                                            | C#         |        421 |         15 |        129 |        565 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\SmoothMono\TextRenderer.cs                                        | C#         |         57 |         15 |          9 |         81 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Sound\SoundService.cs                                             | C#         |         94 |         16 |         18 |        128 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\Sound\SystemSound.cs                                              | C#         |          9 |         15 |          2 |         26 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Alignment.cs                                                | C#         |          9 |         15 |          2 |         26 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Animations\Animation.cs                                     | C#         |         43 |         46 |         12 |        101 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Animations\Easing.cs                                        | C#         |         34 |         34 |          4 |         72 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Animations\EasingDirection.cs                               | C#         |          9 |         27 |          4 |         40 |
| c:\Users\leon\source\repos\CMLeonOS\CMLeonOS\Gui\UILib\Animations\EasingType.cs                                    | C#         |          8 |         24 |          3 |         35 |
